robyn_robyn_0001|Dragon gets by. Shopping.
robyn_robyn_0002|Dragon look in his cupboard. But there was no food at all.
robyn_robyn_0004|Dragon got into his car and drove.
robyn_robyn_0005|The food store was at the top of a hill.
robyn_robyn_0006|It was a very steep drive
robyn_robyn_0007|Dragon loved to go shopping. He was a very wise shopper.
robyn_robyn_0008|He bought food only from the five basic groups.
robyn_robyn_0009|He bought cheese curls from the dairy group, he bought doughnuts from the bread group.
robyn_robyn_0010|He bought cat catshup from the fruit grou and vegetable group,
robyn_robyn_0011|He b
robyn_robyn_0013|fu fudge
robyn_robyn_0014|and he bought fudge pudge from the chocolate group.
robyn_robyn_0015|Dragon had a balanced diet
robyn_robyn_0016|He had so much food that he could not fit it all into his car
robyn_robyn_0017|I know what I will do said dragon.
robyn_robyn_0018|I will eat some of the food now and the rest will fit in the car.
robyn_robyn_0019|Dragon sat in the parking lot
robyn_robyn_0021|Dragon sat in the parking lot and started to eat.
robyn_robyn_0022|He crunched up the cheese curls, he donated the doughnuts, he packed away the pork riiinds.
robyn_robyn_0023|Dragon ate and ate and ate until all the food was gone.
robyn_robyn_0024|burp
robyn_robyn_0025|Now dragon could not fit into his car.
robyn_robyn_0026|Oh what am I going to do
robyn_robyn_0027|cried dragon
robyn_robyn_0028|I know what I will do, said dragon, I will push my car home
robyn_robyn_0029|So dragon pushed his car down the hill.
robyn_robyn_0030|So dragon pushed his car down the hill.
robyn_robyn_0031|The car began to roll. Faster and faster and faster and faster.
robyn_robyn_0033|Right in front of his house.
robyn_robyn_0034|All the excitement had made dragon very hungry.
robyn_robyn_0035|He went into his kitchen
robyn_robyn_0036|and looked in the cupboard.
robyn_robyn_0037|There was no food at all. The cupboard is bare, said dragon. Time to go shopping.
robyn_robyn_0038|The End.
robyn_robyn_0039|Big bear lake. In August, Henry and Henry's big dog, Mudge, always went camping. They went with Henry's parents.
robyn_robyn_0041|Henry's dad didn't know anything about camping. He just came with a guitar and sm smiles.
robyn_robyn_0042|Henry and Mudge loved camping. This year they were going to big bear lake and Henry's cou Henry couldn't wait.
robyn_robyn_0043|We might even see a bear, Henry said. Henry was not sh so sure he wanted to see a bear.
robyn_robyn_0044|He shivered and but put an arm around Mudge.
robyn_robyn_0045|Mudge have a gave a big slow loud yaun yaun. He drooled on henry's foot.
robyn_robyn_0046|Henry giggled, no bears will get us, Mudge, Henry said. We're not too slippery. We're too slippery.
robyn_robyn_0047|Mudge gave a big slow loud yawn. He drooled on henry's foot. Henry giggled, no bear will get us, Mudge, Henry said. We too slippery.
robyn_robyn_0048|A good smelly hike. Henry and Mudge and Henry's parents drove to big bear lake
robyn_robyn_0050|Everyone had a backpack, even mudge. His had lot his had lots of crackers.
robyn_robyn_0051|Henry's mother said, let's go and off they went. They walked and walked and climbed and...
robyn_robyn_0052|They walked and walked and climbed and climbed.
robyn_robyn_0053|It was a beautiful. It was beautiful. Henry saw a fish jump straight aat out of a stream. He saw a doe and her f her fawn.
robyn_robyn_0054|He saw waterfalls and rainbow
robyn_robyn_0055|Mudge didn't see much of anything.
robyn_robyn_0056|Mudge loved to hike and smell.
robyn_robyn_0057|He smelled a racoon.
robyn_robyn_0058|He smelled a racoon from yesterday, he smelled a deer from the last night, he smelled an oatmeal cookie from henry's back pocket.
robyn_robyn_0059|Mudge, Henry laughed off, giving Mudge the cookie.
robyn_robyn_0060|Finally, Henry's mother picked a good place to camp.
robyn_robyn_0061|Henry's parents set up the tent. Henry's unpacked Henry unpacked the food and pants and lanterns. Mudge unpacked a ham sandwich.
robyn_robyn_0062|Finally, the camp was almost ready. It needed just one more thing.
robyn_robyn_0063|Who knows the words to love me tender said henry's father.
robyn_robyn_0064|Henry looked at Mudge and groaned.
robyn_robyn_0065|It was a beautiful night. Henry and Henry's parents lay on her back.
robyn_robyn_0067|There's the big dipper, said Henry's mother, there's the little dipper, said Henry.
robyn_robyn_0068|Mudge wasn't looking.
robyn_robyn_0069|Mudge loved camping.
robyn_robyn_0070|Henry's father sang one more sappy love song.
robyn_robyn_0072|It was as quiet as quiet could be.
robyn_robyn_0073|Everyone slept safe and sound and there were no bears no scares.
robyn_robyn_0074|Just the clean smell of trees and wonderful green dreams. The end.
robyn_robyn_0075|Julius, story by angela johnson
robyn_robyn_0076|alabama but wintered in alaska. He told Maya that was the reason he liked ice cubes in his coffee.
robyn_robyn_0077|On one of granddaddy's visits from alaska he brought a crate.
robyn_robyn_0078|Granddaddy smiled. Something for my special you.
robyn_robyn_0079|Maya hoped it was a horse or an older brother. She'd always wanted one or the other.
robyn_robyn_0081|But it was a pig. A big pig. An alaskan pig who did a polar bear imitation
robyn_robyn_0082|and climbed out of the crate. Julius had come.
robyn_robyn_0083|Maya's parents didn't think that they would like Julius. He showed them no fun no sharing. Maya loved Julius.
robyn_robyn_0084|Though, so he stayed.
robyn_robyn_0085|There never was enough food in the house after Julius came to stay. He slurped coffee and ate too much peanut butter.
robyn_robyn_0086|Julius made big mess.
robyn_robyn_0087|He would he would roll himself in flour when he wanted Maya to bake him cookies.
robyn_robyn_0088|Julius made a big messes and spread the newspaper everywhere before anyone could read it. He left crumbs on the sheet and never picked up hids towels.
robyn_robyn_0089|Julius made too much noise. He'd stay up late watching old movies and he'd always play records when everybody else wanted to read.
robyn_robyn_0090|But Maya knew the other Julius too the Julius who was fun to take on walks...
robyn_robyn_0091|But Maya knew the other Julius too the Julius who was fun to take on walks cause he did great dog imitation and chase cats.
robyn_robyn_0092|He the Julius who sneaked into stores with her and and tried on clothis. Julius like anything blue and stretchy.
robyn_robyn_0093|They try on hats to make like red felt, Julius liked straw, it tasted better.
robyn_robyn_0094|Trying on shoes was hard.
robyn_robyn_0095|They'd try on hats too. Maya liked red felt. Julius liked straw. It tasted better. Trying on shoes was hard, though.
robyn_robyn_0096|Julius would swing for hours on the playground with Maya.
robyn_robyn_0097|He'd protect her from the scary things at night too, sometimes
robyn_robyn_0098|Maya loved the Julius.
robyn_robyn_0099|...and eat peanut butter from the jar without getting any on the ceiling.
robyn_robyn_0100|Maya didn't think all the other brothers in the world could have taught her that.
robyn_robyn_0101|Julius loved the Maya who thought him that even thought he was a pig he didn't have to act like a he lived in a barn.
robyn_robyn_0102|Julius loved the Maya who thought him that even though he was a pig he didn't have to act like he lived in a barn
robyn_robyn_0104|Maya shared the things she learned from Julius
robyn_robyn_0105|Maya shared the things sh she learned from Julius with her friends.
robyn_robyn_0106|Swinging, trying on hats and dancing to Jazz records.
robyn_robyn_0107|Julius shared the things Maya had thought him with the pa... her parents sometimes.
robyn_robyn_0108|Julius shared the things Maya had thought him with her parents sometimes.
