mel	output	text
mels/LJ045-0096.pt	LJ045-0096.wav	Mrs. De Mohrenschildt thought that Oswald,
mels/LJ049-0022.pt	LJ049-0022.wav	The Secret Service believed that it was very doubtful that any President would ride regularly in a vehicle with a fixed top, even though transparent.
mels/LJ033-0042.pt	LJ033-0042.wav	Between the hours of eight and nine p.m. they were occupied with the children in the bedrooms located at the extreme east end of the house.
mels/LJ016-0117.pt	LJ016-0117.wav	The prisoner had nothing to deal with but wooden panels, and by dint of cutting and chopping he got both the lower panels out.
mels/LJ025-0157.pt	LJ025-0157.wav	Under these circumstances, unnatural as they are, with proper management, the bean will thrust forth its radicle and its plumule;
mels/LJ042-0219.pt	LJ042-0219.wav	Oswald demonstrated his thinking in connection with his return to the United States by preparing two sets of identical questions of the type which he might have thought
mels/LJ032-0164.pt	LJ032-0164.wav	it is not possible to state with scientific certainty that a particular small group of fibers come from a certain piece of clothing
mels/LJ046-0092.pt	LJ046-0092.wav	has confidence in the dedicated Secret Service men who are ready to lay down their lives for him
mels/LJ050-0118.pt	LJ050-0118.wav	Since these agencies are already obliged constantly to evaluate the activities of such groups,
mels/LJ043-0016.pt	LJ043-0016.wav	Jeanne De Mohrenschildt said, quote,
mels/LJ021-0078.pt	LJ021-0078.wav	no economic panacea, which could simply revive over-night the heavy industries and the trades dependent upon them.
mels/LJ039-0148.pt	LJ039-0148.wav	Examination of the cartridge cases found on the sixth floor of the Depository Building
mels/LJ047-0202.pt	LJ047-0202.wav	testified that the information available to the Federal Government about Oswald before the assassination would, if known to PRS,
mels/LJ023-0056.pt	LJ023-0056.wav	It is an easy document to understand when you remember that it was called into being
mels/LJ021-0025.pt	LJ021-0025.wav	And in many directions, the intervention of that organized control which we call government
mels/LJ030-0105.pt	LJ030-0105.wav	Communications in the motorcade.
mels/LJ021-0012.pt	LJ021-0012.wav	with respect to industry and business, but nearly all are agreed that private enterprise in times such as these
